full_name,owner,html_url,stargazers_count,forks_count,watchers_count,contributors_count,language,size,LOC,first_commit_date,last_commit_date,commits_count,year,month,days,year,month,days,year,month,days,open_issues_count,closed_issues_count,issues_count,open_pulls_count,closed_pulls_count,Total PR,merged_pulls_count,% of open_pulls_count,% of Merged,archived
app-service-dotnet-manage-web-apps-on-linux,Microsoft Azure,https://github.com/Azure-Samples/app-service-dotnet-manage-web-apps-on-linux,0,5,22,11,C#,28.202,16.075,06/04/2017,17/01/2024,30,6,9,11,7,4,13,0,7,2,2,11,13,2,11,13,1,"15,38%","9,09%",FALSE
app-service-dotnet-manage-web-apps-on-linux-with-custom-domains,Microsoft Azure,https://github.com/Azure-Samples/app-service-dotnet-manage-web-apps-on-linux-with-custom-domains,2,1,22,10,C#,28.202,18.555,06/04/2017,17/01/2024,29,6,9,11,7,4,13,0,7,2,3,11,14,2,11,13,1,"15,38%","9,09%",FALSE
app-service-dotnet-manage-web-apps-with-custom-domains,Microsoft Azure,https://github.com/Azure-Samples/app-service-dotnet-manage-web-apps-with-custom-domains,8,3,23,9,C#,28.201,18.526,20/12/2016,17/01/2024,31,7,0,28,7,7,30,0,7,2,2,14,16,2,13,15,3,"13,33%","23,08%",FALSE
app-service-dotnet-scale-web-apps,Microsoft Azure,https://github.com/Azure-Samples/app-service-dotnet-scale-web-apps,31,68,23,10,C#,28.235,21.736,20/12/2016,17/01/2024,38,7,0,28,7,7,30,0,7,2,4,13,17,2,13,15,3,"13,33%","23,08%",FALSE
app-service-dotnet-scale-web-apps-on-linux,Microsoft Azure,https://github.com/Azure-Samples/app-service-dotnet-scale-web-apps-on-linux,0,3,22,11,C#,28.205,21.683,11/04/2017,17/01/2024,32,6,9,6,7,4,8,0,7,2,2,11,13,2,11,13,1,"15,38%","9,09%",FALSE
app-service-language-detector,Microsoft Azure,https://github.com/Azure-Samples/app-service-language-detector,1,7,14,6,JavaScript,715,17.138,22/10/2021,19/03/2024,18,2,4,26,2,9,28,0,5,0,0,3,4,1,3,4,3,"25,00%","100,00%",FALSE
appfabric-sample-log-generator,Amazon AWS,https://github.com/aws-samples/appfabric-sample-log-generator,2,1,3,5,JavaScript,523,30.751,29/03/2024,09/08/2024,11,0,4,11,0,4,21,0,0,10,1,2,3,1,2,3,2,"33,33%","100,00%",FALSE
ApplicationInsights-Java-Samples,Microsoft Azure,https://github.com/Azure-Samples/ApplicationInsights-Java-Samples,2,10,15,6,Java,15.083,47.203,30/04/2024,08/08/2024,459,0,3,9,0,3,20,0,0,11,1,481,482,1,481,482,448,"0,21%","93,14%",FALSE
appmod-partners-serverless,Amazon AWS,https://github.com/aws-samples/appmod-partners-serverless,6,2,6,5,Python,1.266,66.294,23/05/2023,06/08/2024,34,1,2,14,1,2,27,0,0,13,0,8,8,0,8,8,8,"0,00%","100,00%",FALSE
ARGUS,Microsoft Azure,https://github.com/Azure-Samples/ARGUS,13,7,9,9,Python,34.364,90.724,29/05/2024,09/08/2024,110,0,2,11,0,2,21,0,0,10,4,1,5,3,0,3,0,"100,00%",-,FALSE
ASA-Samples-Restful-Application,Microsoft Azure,https://github.com/Azure-Samples/ASA-Samples-Restful-Application,3,5,13,6,Java,508,39.494,17/07/2023,22/04/2024,19,0,9,5,1,1,2,0,3,28,0,6,6,0,6,6,6,"0,00%","100,00%",FALSE
avp-petstore-sample,Amazon AWS,https://github.com/aws-samples/avp-petstore-sample,33,132,6,6,JavaScript,31.742,20.380,11/05/2023,04/10/2023,83,0,4,23,1,3,8,0,10,15,9,10,19,8,10,18,10,"44,44%","100,00%",FALSE
aws-amplify-example-recipe-app-react-native,Amazon AWS,https://github.com/aws-samples/aws-amplify-example-recipe-app-react-native,8,7,11,5,Java,5.752,15.851,06/04/2021,30/08/2023,57,2,4,24,3,4,13,0,11,20,3,20,23,3,20,23,20,"13,04%","100,00%",FALSE
aws-analytics-genai-llm-workshop,Amazon AWS,https://github.com/aws-samples/aws-analytics-genai-llm-workshop,7,1,3,6,Jupyter Notebook,17.242,91.162,02/08/2023,21/09/2023,38,0,1,19,1,0,17,0,10,29,3,12,15,3,12,15,6,"20,00%","50,00%",FALSE
aws-appsync-resolver-samples,Amazon AWS,https://github.com/aws-samples/aws-appsync-resolver-samples,57,8,9,5,JavaScript,580,2.022,01/11/2022,29/04/2024,49,1,5,28,1,9,18,0,3,21,1,10,11,0,9,9,9,"0,00%","100,00%",FALSE
aws-athena-udfs-textanalytics,Amazon AWS,https://github.com/aws-samples/aws-athena-udfs-textanalytics,10,6,6,5,Java,422,96.813,24/02/2021,04/03/2024,74,3,0,9,3,5,26,0,5,15,1,22,23,1,21,22,17,"4,55%","80,95%",FALSE
aws-auto-inventory,Amazon AWS,https://github.com/aws-samples/aws-auto-inventory,184,28,9,6,Python,2.175,14.385,16/01/2023,02/02/2024,319,1,0,17,1,7,3,0,6,17,3,59,62,1,46,47,42,"2,13%","91,30%",FALSE
aws-cdk-emr-s3-trigger,Amazon AWS,https://github.com/aws-samples/aws-cdk-emr-s3-trigger,10,5,8,5,Python,1.337,8.626,10/09/2020,23/10/2023,45,3,1,13,3,11,9,0,9,27,2,23,25,2,23,25,18,"8,00%","78,26%",FALSE
aws-codeguru-profiler-python-demo-application,Amazon AWS,https://github.com/aws-samples/aws-codeguru-profiler-python-demo-application,12,29,6,7,Python,1.062,55.912,26/10/2020,22/12/2023,53,3,1,26,3,9,24,0,7,28,3,42,45,3,42,45,32,"6,67%","76,19%",FALSE
aws-codepipeline-bitbucket-integration,Amazon AWS,https://github.com/aws-samples/aws-codepipeline-bitbucket-integration,32,37,9,9,JavaScript,126,6.189,17/09/2019,16/07/2024,33,4,9,29,4,11,2,0,1,3,7,23,30,3,10,13,8,"23,08%","80,00%",FALSE
aws-cognito-java-desktop-app,Amazon AWS,https://github.com/aws-samples/aws-cognito-java-desktop-app,104,76,26,10,Java,193,68.734,20/09/2017,15/03/2024,39,6,5,24,6,10,30,0,5,4,0,15,15,0,6,6,6,"0,00%","100,00%",FALSE
aws-control-tower-guardduty-enabler,Amazon AWS,https://github.com/aws-samples/aws-control-tower-guardduty-enabler,40,26,6,5,Python,8.819,23.730,27/02/2020,28/11/2023,35,3,9,1,4,5,23,0,8,22,0,27,27,0,15,15,13,"0,00%","86,67%",FALSE
aws-control-tower-securityhub-enabler,Amazon AWS,https://github.com/aws-samples/aws-control-tower-securityhub-enabler,57,36,8,8,Python,227,36.856,27/02/2020,28/11/2023,37,3,9,1,4,5,23,0,8,22,1,31,32,0,14,14,12,"0,00%","85,71%",FALSE
aws-dataexchange-api-samples,Amazon AWS,https://github.com/aws-samples/aws-dataexchange-api-samples,21,13,8,13,Python,8.963,79.669,07/04/2021,07/03/2024,171,2,11,0,3,4,12,0,5,12,6,84,90,4,75,79,69,"5,06%","92,00%",FALSE
aws-decoupled-serverless-scheduler,Amazon AWS,https://github.com/aws-samples/aws-decoupled-serverless-scheduler,24,8,14,8,Python,1.420,40.260,26/11/2019,26/04/2024,26,4,5,0,4,8,24,0,3,24,0,8,8,0,8,8,7,"0,00%","87,50%",FALSE
aws-eks-crac,Amazon AWS,https://github.com/aws-samples/aws-eks-crac,12,3,2,5,JavaScript,1.629,9.228,14/10/2023,07/05/2024,57,0,6,23,0,10,5,0,3,12,1,17,18,1,17,18,17,"5,56%","100,00%",FALSE
aws-health-events-insight,Amazon AWS,https://github.com/aws-samples/aws-health-events-insight,35,11,4,6,Python,7.181,26.025,26/06/2023,28/06/2024,144,1,0,2,1,1,24,0,1,22,2,5,7,1,5,6,5,"16,67%","100,00%",FALSE
aws-iot-robot-connectivity-samples-ros2,Amazon AWS,https://github.com/aws-samples/aws-iot-robot-connectivity-samples-ros2,9,9,9,6,Python,462,44.567,18/11/2022,24/05/2024,9,1,6,6,1,9,1,0,2,26,0,9,9,0,9,9,8,"0,00%","88,89%",FALSE
aws-lambda-java-workshop,Amazon AWS,https://github.com/aws-samples/aws-lambda-java-workshop,50,28,4,8,Java,611.198,98.133,10/05/2024,07/08/2024,989,0,2,28,0,3,9,0,0,12,2,1061,1063,1,1058,1059,407,"0,09%","38,47%",FALSE
aws-management-and-governance-samples,Amazon AWS,https://github.com/aws-samples/aws-management-and-governance-samples,59,38,11,9,Python,1.543,52.893,16/06/2020,01/08/2024,69,4,1,16,4,2,3,0,0,18,5,18,23,4,17,21,16,"19,05%","94,12%",FALSE
aws-marketplace-api-samples,Amazon AWS,https://github.com/aws-samples/aws-marketplace-api-samples,12,13,17,10,Python,200,12.146,17/12/2020,28/05/2024,42,3,5,11,3,8,2,0,2,22,2,27,29,2,27,29,20,"6,90%","74,07%",FALSE
aws-marketplace-serverless-saas-integration,Amazon AWS,https://github.com/aws-samples/aws-marketplace-serverless-saas-integration,119,72,20,23,JavaScript,7.105,22.162,29/06/2021,03/08/2024,146,3,1,5,3,1,21,0,0,16,20,58,78,1,46,47,38,"2,13%","82,61%",FALSE
aws-medialive-channel-orchestrator,Amazon AWS,https://github.com/aws-samples/aws-medialive-channel-orchestrator,11,7,5,5,JavaScript,2.776,95.789,03/11/2022,20/06/2024,53,1,7,17,1,9,16,0,1,30,1,35,36,1,35,36,28,"2,78%","80,00%",FALSE
aws-mlflow-sagemaker-cdk,Amazon AWS,https://github.com/aws-samples/aws-mlflow-sagemaker-cdk,27,8,6,6,Jupyter Notebook,27.220,75.187,13/10/2021,08/07/2024,78,2,8,25,2,10,6,0,1,11,4,35,39,4,29,33,19,"12,12%","65,52%",FALSE
aws-modernization-with-snyk-security,Amazon AWS,https://github.com/aws-samples/aws-modernization-with-snyk-security,0,0,10,6,Python,13.910,32.529,18/10/2021,10/11/2023,30,2,0,23,2,10,1,0,9,9,0,8,8,0,8,8,8,"0,00%","100,00%",FALSE
aws-multi-region-bc-dr-workshop,Amazon AWS,https://github.com/aws-samples/aws-multi-region-bc-dr-workshop,9,12,27,7,Python,24.289,48.442,28/11/2019,12/01/2024,204,4,1,15,4,8,22,0,7,7,2,30,32,1,30,31,26,"3,23%","86,67%",FALSE
aws-nitro-enclave-blockchain-wallet,Amazon AWS,https://github.com/aws-samples/aws-nitro-enclave-blockchain-wallet,35,9,5,6,Python,11.185,31.952,08/06/2022,02/07/2024,20,2,0,24,2,2,11,0,1,17,2,27,29,0,17,17,12,"0,00%","70,59%",FALSE
aws-nitro-enclaves-workshop,Amazon AWS,https://github.com/aws-samples/aws-nitro-enclaves-workshop,29,22,10,10,Python,3.449,21.650,08/07/2021,13/09/2023,112,2,2,5,3,1,11,0,11,6,2,47,49,2,42,44,38,"4,55%","90,48%",FALSE
aws-panorama-samples,Amazon AWS,https://github.com/aws-samples/aws-panorama-samples,82,58,14,20,Python,365.450,87.962,25/07/2022,05/03/2024,381,1,7,9,2,0,25,0,5,14,14,88,102,6,67,73,62,"8,22%","92,54%",FALSE
aws-reinvent-2023-code-talk-assets,Amazon AWS,https://github.com/aws-samples/aws-reinvent-2023-code-talk-assets,2,0,5,5,Jupyter Notebook,2.107,61.895,04/10/2023,27/11/2023,35,0,1,23,0,10,15,0,8,23,0,2,2,0,2,2,2,"0,00%","100,00%",FALSE
aws-resilience-hub-tools,Amazon AWS,https://github.com/aws-samples/aws-resilience-hub-tools,19,9,4,8,Python,1.524,28.147,07/02/2023,07/04/2024,64,1,2,0,1,6,12,0,4,12,1,14,15,1,14,15,12,"6,67%","85,71%",FALSE
aws-sam-jenkins-pipeline-tutorial,Amazon AWS,https://github.com/aws-samples/aws-sam-jenkins-pipeline-tutorial,8,11,6,6,JavaScript,152,2.740,22/01/2021,10/07/2024,28,3,5,18,3,6,28,0,1,9,0,14,14,0,14,14,11,"0,00%","78,57%",FALSE
aws-sdk-js-tests,Amazon AWS,https://github.com/aws-samples/aws-sdk-js-tests,55,59,6,5,JavaScript,6.292,11.384,06/08/2021,01/08/2024,173,2,11,26,3,0,13,0,0,18,2,202,204,0,181,181,140,"0,00%","77,35%",FALSE
aws-serverless-developer-experience-workshop-dotnet,Amazon AWS,https://github.com/aws-samples/aws-serverless-developer-experience-workshop-dotnet,11,9,6,6,C#,945,94.540,30/11/2022,22/05/2024,108,1,5,22,1,8,20,0,2,28,0,33,33,0,27,27,25,"0,00%","92,59%",FALSE
aws-serverless-developer-experience-workshop-java,Amazon AWS,https://github.com/aws-samples/aws-serverless-developer-experience-workshop-java,10,6,6,7,Java,877,89.072,24/04/2023,22/05/2024,120,1,0,28,1,3,26,0,2,28,4,39,43,0,33,33,28,"0,00%","84,85%",FALSE
aws-serverless-security-workshop,Amazon AWS,https://github.com/aws-samples/aws-serverless-security-workshop,522,184,30,23,JavaScript,40.425,49.739,25/11/2018,18/04/2024,166,5,4,24,5,8,25,0,4,1,17,48,65,11,41,52,39,"21,15%","95,12%",FALSE
aws-serverless-workshop-innovator-island,Amazon AWS,https://github.com/aws-samples/aws-serverless-workshop-innovator-island,560,224,36,19,JavaScript,34.418,70.375,15/07/2020,23/05/2024,247,3,10,8,4,1,4,0,2,27,0,111,111,0,48,48,34,"0,00%","70,83%",FALSE
aws-step-functions-progress-tracking,Amazon AWS,https://github.com/aws-samples/aws-step-functions-progress-tracking,24,2,3,5,JavaScript,3.949,11.291,13/01/2023,10/05/2024,45,1,3,27,1,7,6,0,3,9,0,20,20,0,18,18,11,"0,00%","61,11%",FALSE
aws-virtual-participant-framework-for-rtc,Amazon AWS,https://github.com/aws-samples/aws-virtual-participant-framework-for-rtc,47,10,9,6,Python,83.354,53.321,09/01/2023,27/02/2024,72,1,1,18,1,7,10,0,5,23,4,42,46,1,21,22,21,"4,55%","100,00%",FALSE
aws-waf-ops-dashboards,Amazon AWS,https://github.com/aws-samples/aws-waf-ops-dashboards,50,18,8,5,Python,4.257,3.264,13/04/2021,23/02/2024,19,2,10,10,3,4,6,0,5,27,0,10,10,0,3,3,3,"0,00%","100,00%",FALSE
awsome-inference,Amazon AWS,https://github.com/aws-samples/awsome-inference,8,2,4,7,Python,626,82.849,04/06/2024,08/08/2024,16,0,2,4,0,2,15,0,0,11,3,12,15,2,12,14,10,"14,29%","83,33%",FALSE
azure-cafe,Microsoft Azure,https://github.com/Azure-Samples/azure-cafe,2,4,15,6,Java,4.876,12.343,07/06/2022,28/06/2024,28,2,0,21,2,2,12,0,1,22,0,5,5,0,5,5,5,"0,00%","100,00%",FALSE
azure-cosmos-db-python-getting-started,Microsoft Azure,https://github.com/Azure-Samples/azure-cosmos-db-python-getting-started,46,52,40,12,Python,114,7.506,10/05/2017,13/05/2024,42,7,0,3,7,3,9,0,3,6,4,19,23,0,18,18,10,"0,00%","55,56%",FALSE
azure-edge-extensions-polyglotnotebook-aio,Microsoft Azure,https://github.com/Azure-Samples/azure-edge-extensions-polyglotnotebook-aio,1,1,12,5,Jupyter Notebook,11.615,73.198,01/12/2023,28/02/2024,24,0,2,27,0,8,18,0,5,22,11,5,16,11,5,16,4,"68,75%","80,00%",FALSE
azure-edge-extensions-retrieval-augmented-generation,Microsoft Azure,https://github.com/Azure-Samples/azure-edge-extensions-retrieval-augmented-generation,7,0,12,6,Python,3.025,28.132,03/01/2024,01/08/2024,32,0,6,29,0,7,16,0,0,18,4,8,12,2,5,7,3,"28,57%","60,00%",FALSE
azure-functions-samples-java,Microsoft Azure,https://github.com/Azure-Samples/azure-functions-samples-java,31,75,24,11,Java,479,72.379,14/02/2020,05/06/2024,66,4,3,22,4,6,5,0,2,14,2,41,43,0,39,39,35,"0,00%","89,74%",FALSE
azure-government-openai-access,Microsoft Azure,https://github.com/Azure-Samples/azure-government-openai-access,18,2,15,6,Python,341,1.264,27/04/2023,31/08/2023,19,0,4,4,1,3,23,0,11,19,3,1,4,0,1,1,1,"0,00%","100,00%",FALSE
azure-load-testing-samples,Microsoft Azure,https://github.com/Azure-Samples/azure-load-testing-samples,16,25,14,5,Python,10.993,45.706,18/04/2023,21/02/2024,127,0,10,3,1,4,1,0,5,29,7,21,28,5,21,26,19,"19,23%","90,48%",FALSE
azure-openai-reverse-proxy,Microsoft Azure,https://github.com/Azure-Samples/azure-openai-reverse-proxy,3,1,11,6,C#,306,31.793,26/02/2024,11/06/2024,77,0,3,16,0,5,24,0,2,8,0,20,20,0,19,19,19,"0,00%","100,00%",FALSE
azure-openai-terraform-deployment-sample,Microsoft Azure,https://github.com/Azure-Samples/azure-openai-terraform-deployment-sample,42,22,16,5,Python,225,14.254,16/05/2023,06/03/2024,75,0,9,19,1,3,3,0,5,13,4,34,38,4,33,37,25,"10,81%","75,76%",FALSE
azure-samples-python-management,Microsoft Azure,https://github.com/Azure-Samples/azure-samples-python-management,158,131,24,27,Python,481,30.252,29/07/2022,27/06/2024,348,1,10,29,2,0,21,0,1,23,20,133,153,4,125,129,112,"3,10%","89,60%",FALSE
azure-search-dotnet-scale,Microsoft Azure,https://github.com/Azure-Samples/azure-search-dotnet-scale,10,8,12,5,C#,71,97.260,27/07/2023,19/01/2024,27,0,5,23,1,0,23,0,7,0,1,10,11,1,9,10,8,"10,00%","88,89%",FALSE
azure-search-java-samples,Microsoft Azure,https://github.com/Azure-Samples/azure-search-java-samples,2,13,22,10,Java,245,15.441,16/07/2019,05/12/2023,145,4,4,19,5,1,3,0,8,14,0,50,50,0,49,49,39,"0,00%","79,59%",FALSE
azure-search-python-samples,Microsoft Azure,https://github.com/Azure-Samples/azure-search-python-samples,69,238,26,15,Jupyter Notebook,2.075,90.444,25/10/2022,23/07/2024,267,1,8,28,1,9,25,0,0,27,4,109,113,3,102,105,87,"2,86%","85,29%",FALSE
azure-service-operator-samples,Microsoft Azure,https://github.com/Azure-Samples/azure-service-operator-samples,12,18,21,13,Go,9.404,10.899,03/10/2019,18/03/2024,98,4,5,15,4,10,16,0,5,1,1,49,50,1,48,49,37,"2,04%","77,08%",FALSE
azure-spring-data-cosmos-java-sql-api-samples,Spring Boot,https://github.com/Azure-Samples/azure-spring-data-cosmos-java-sql-api-samples,12,7,36,7,Java,37,18.176,12/08/2020,23/07/2024,42,3,11,11,4,0,7,0,0,27,2,16,18,2,11,13,11,"15,38%","100,00%",FALSE
azure-sql-binding-func-dotnet-todo,Microsoft Azure,https://github.com/Azure-Samples/azure-sql-binding-func-dotnet-todo,11,13,14,5,C#,148,13.396,17/11/2021,05/10/2023,13,1,10,18,2,9,2,0,10,14,0,7,7,0,7,7,6,"0,00%","85,71%",FALSE
azure-sql-db-dotnet-rest-api,Microsoft Azure,https://github.com/Azure-Samples/azure-sql-db-dotnet-rest-api,32,29,18,7,C#,51,13.384,16/12/2019,06/08/2024,69,4,7,21,4,8,3,0,0,13,1,5,6,1,4,5,3,"20,00%","75,00%",FALSE
azure-sql-db-fullstack-serverless-kickstart,Microsoft Azure,https://github.com/Azure-Samples/azure-sql-db-fullstack-serverless-kickstart,42,100,12,6,C#,690,49.693,09/09/2022,23/10/2023,276,1,1,14,1,11,10,0,9,27,3,28,31,3,27,30,20,"10,00%","74,07%",FALSE
azure-sql-db-fusioncache,Microsoft Azure,https://github.com/Azure-Samples/azure-sql-db-fusioncache,7,4,15,7,C#,558,12.735,06/04/2022,06/08/2024,45,2,4,0,2,4,13,0,0,13,0,3,3,0,3,3,3,"0,00%","100,00%",FALSE
azure-sql-db-sync-api-change-tracking,Microsoft Azure,https://github.com/Azure-Samples/azure-sql-db-sync-api-change-tracking,63,22,21,6,C#,41,11.205,21/02/2020,06/08/2024,29,4,5,16,4,5,29,0,0,13,1,3,4,1,2,3,2,"33,33%","100,00%",FALSE
azure-sql-db-todo-backend-func-node,Microsoft Azure,https://github.com/Azure-Samples/azure-sql-db-todo-backend-func-node,13,11,13,6,JavaScript,122,9.597,15/09/2020,06/08/2024,32,3,10,22,3,11,4,0,0,13,0,2,2,0,2,2,2,"0,00%","100,00%",FALSE
azure-sql-db-who-am-i,Microsoft Azure,https://github.com/Azure-Samples/azure-sql-db-who-am-i,5,7,13,7,C#,250,9.445,02/08/2022,06/08/2024,36,2,0,4,2,0,17,0,0,13,1,4,5,1,4,5,3,"20,00%","75,00%",FALSE
azure-sql-functions-geocode,Microsoft Azure,https://github.com/Azure-Samples/azure-sql-functions-geocode,7,3,15,5,Jupyter Notebook,171,16.329,20/09/2022,05/10/2023,20,1,0,15,1,10,30,0,10,14,0,3,3,0,3,3,3,"0,00%","100,00%",FALSE
bedrock-access-gateway,Amazon AWS,https://github.com/aws-samples/bedrock-access-gateway,163,32,19,6,Python,556,44.498,27/03/2024,09/08/2024,58,0,4,13,0,4,23,0,0,10,16,21,37,4,10,14,6,"28,57%","60,00%",FALSE
build-your-first-orleans-app-aspnetcore,Microsoft Azure,https://github.com/Azure-Samples/build-your-first-orleans-app-aspnetcore,8,10,14,6,C#,44,3.022,05/07/2022,09/01/2024,39,1,6,4,2,1,14,0,7,10,0,11,11,0,11,11,10,"0,00%","90,91%",FALSE
cassandra-mi-client-configurator,Microsoft Azure,https://github.com/Azure-Samples/cassandra-mi-client-configurator,1,2,18,5,Python,72,15.066,11/10/2023,01/12/2023,20,0,1,20,0,10,8,0,8,18,2,4,6,2,4,6,4,"33,33%","100,00%",FALSE
cdk-amazon-mwaa-cicd,Amazon AWS,https://github.com/aws-samples/cdk-amazon-mwaa-cicd,27,5,3,5,Python,1.764,63.435,17/09/2021,15/05/2024,39,2,7,28,2,11,2,0,3,4,9,25,34,9,25,34,14,"26,47%","56,00%",FALSE
cdn-dotnet-manage-cdn,Microsoft Azure,https://github.com/Azure-Samples/cdn-dotnet-manage-cdn,9,4,23,10,C#,28.214,12.578,20/12/2016,17/01/2024,40,7,0,28,7,7,30,0,7,2,3,13,16,2,13,15,3,"13,33%","23,08%",FALSE
clickstream-consumer-for-apache-kafka,Amazon AWS,https://github.com/aws-samples/clickstream-consumer-for-apache-kafka,5,9,2,7,Java,45,70.177,30/06/2020,08/05/2024,35,3,10,8,4,1,20,0,3,11,3,16,19,3,16,19,12,"15,79%","75,00%",FALSE
clickstream-producer-for-apache-kafka,Amazon AWS,https://github.com/aws-samples/clickstream-producer-for-apache-kafka,16,18,2,6,Java,46,59.255,30/06/2020,12/12/2023,41,3,5,12,4,1,20,0,8,7,1,18,19,0,17,17,15,"0,00%","88,24%",FALSE
cognitive-services-python-sdk-samples,Microsoft Azure,https://github.com/Azure-Samples/cognitive-services-python-sdk-samples,158,189,37,26,Python,12.204,2.753,27/09/2019,07/03/2024,250,4,5,9,4,10,23,0,5,12,6,96,102,3,80,83,66,"3,61%","82,50%",FALSE
communication-services-android-calling-hero,Microsoft Azure,https://github.com/Azure-Samples/communication-services-android-calling-hero,11,17,29,12,Java,833,44.106,09/03/2021,06/03/2024,68,2,11,26,3,5,10,0,5,13,1,135,136,1,129,130,113,"0,77%","87,60%",FALSE
communication-services-python-quickstarts,Microsoft Azure,https://github.com/Azure-Samples/communication-services-python-quickstarts,17,33,32,27,Python,11.390,91.574,29/03/2023,29/04/2024,171,1,1,0,1,4,21,0,3,21,10,42,52,8,42,50,39,"16,00%","92,86%",FALSE
communication-services-ui-library-maui,Microsoft Azure,https://github.com/Azure-Samples/communication-services-ui-library-maui,13,5,191,7,C#,593,95.555,06/12/2022,02/07/2024,29,1,6,26,1,8,13,0,1,17,8,32,40,1,18,19,16,"5,26%","88,89%",FALSE
communication-services-ui-library-xamarin,Microsoft Azure,https://github.com/Azure-Samples/communication-services-ui-library-xamarin,9,6,28,6,C#,618,82.156,30/08/2022,08/02/2024,18,1,5,9,1,11,20,0,6,11,4,24,28,0,15,15,11,"0,00%","73,33%",FALSE
